"Banner","Banner"
"Banner Information","Banner Information"
"Banner Url","Banner Url"
"Banner to delete was not found.","Banner to delete was not found."
"Banners","Banners"
"Better Slider","Better Slider"
"Config","Config"
"Create New Banner","Create New Banner"
"Create New Slider","Create New Slider"
"Delete","Delete"
"Delete ","Delete "
"Delete Banner","Delete Banner"
"Delete Slider","Delete Slider"
"Description","Description"
"Disable","Disable"
"Disabled","Disabled"
"Edit","Edit"
"Edit Banner ","Edit Banner "
"Edit Slider ","Edit Slider "
"Enabled","Enabled"
"General","General"
"ID","ID"
"Image","Image"
"Name","Name"
"New Banner","New Banner"
"New Slider","New Slider"
"Please correct the data sent.","Please correct the data sent."
"Position","Position"
"Save Banner","Save Banner"
"Save Slider","Save Slider"
"Save and Continue Edit","Save and Continue Edit"
"Slider","Slider"
"Slider Information","Slider Information"
"Slider to delete was not found.","Slider to delete was not found."
"Sliders","Sliders"
"Something went wrong while saving the Banner.","Something went wrong while saving the Banner."
"Something went wrong while saving the Slider.","Something went wrong while saving the Slider."
"Status","Status"
"The Banner has been deleted.","The Banner has been deleted."
"The Banner has been saved.","The Banner has been saved."
"The Slider has been deleted.","The Slider has been deleted."
"The Slider has been saved.","The Slider has been saved."
"This Banner no longer exists.","This Banner no longer exists."
"This Slider no longer exists.","This Slider no longer exists."
"Type","Type"
"Upload File","Upload File"
"Video","Video"
"mageplaza","mageplaza"
